id,category,image,name,price,PB,sorting
51,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523968.jpg,페퍼로니피자핫도그[제주],"2,500원",cu,90
52,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523951.jpg,오리지날플레인핫도그[제주],"2,500원",cu,90
53,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809140578408.jpg,순삭토스트데리비프,"2,500원",cu,52
54,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809232734064.jpg,3XL치킨버거,"3,700원",cu,50
55,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952454.jpg,에그치킨샌드위치,"2,200원",cu,52
56,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809140578422.jpg,순삭토스트햄치즈,"2,300원",cu,52
57,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068377385.jpg,트리플타워버거,"2,500원",cu,50
58,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809232734040.jpg,트러플머쉬룸버거,"2,500원",cu,50
59,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068377255.jpg,뉴요크샌드위치,"3,000원",cu,52
60,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068377279.jpg,ABC샌드위치,"3,000원",cu,52
61,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523661.jpg,제주뉴햄에그샌드,"2,300원",cu,52
62,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809140578521.jpg,베트남식반미샌드,"3,000원",cu,52
63,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523678.jpg,제주햄참치게맛살샌드,"2,300원",cu,52
64,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809232733999.jppg,제주햄참치게맛살샌드,"2,300원",cu,52
64,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809232733999.jpg,추억의햄사라다빵,"2,000원",cu,81
65,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068376685.jpg,더블칠리치즈버거,"2,200원",cu,50
66,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809140578576.jpg,대만식스키피땅콩샌드,"2,200원",cu,52
67,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068376326.jpg,퍼펙트게임핫도그,"2,000원",cu,90
68,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068375633.jpg,NEW케이준치킨샌드,"2,300원",cu,52
69,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809232733975.jpg,잇츠빅콘치즈핫도그,"2,500원",cu,90
70,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068376340.jpg,그랜드슬램핫도그,"2,000원",cu,90
71,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523722.jpg,제주더블불고기버거,"2,200원",cu,50
72,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068376074.jpg,더블어니언비프버거,"2,500원",cu,50
73,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809140578705.jpg,타마고산도,"3,000원",cu,52
74,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952119.jpg,수원왕갈비식치킨버거,"2,500원",cu,50
75,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809453261141.jpg,대만식귤카야잼샌드,"2,200원",cu,52
76,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523784.jpg,제주왕갈비롱버거,"2,300원",cu,50
77,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523685.jpg,왕갈비롱버거,"2,300원",cu,50
78,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952034.jpg,비엘티샌드위치,"2,300원",cu,52
79,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068375497.jpg,소시지에그샌드,"2,200원",cu,52
80,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801068375428.jpg,더블스모키버거,"2,200원",cu,50
81,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451524088.jpg,백종원곱창집볶음밥,"1,300원",cu,51
82,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809453261387.jpg,매콤멸추김밥,"2,500원",cu,51
83,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952515.jpg,명탐정코난주먹밥,"2,000원",cu,51
84,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809453261349.jpg,초밥트리오(랍스터),"3,300원",cu,50
85,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801771019664.jpg,초밥트리오(우삼겹),"3,300원",cu,50
86,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952478.jpg,백종원고깃집김밥,"2,500원",cu,51
87,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801771019640.jpg,백종원고깃집볶음밥,"1,200원",cu,51
88,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523937.jpg,주먹왕!매콤전주,"2,000원",cu,51
89,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801771019589.jpg,700양념숯불갈비맛,700원,cu,51
90,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952416.jpg,1700원조김밥,"1,700원",cu,51
91,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809453261264.jpg,700소고기고추장,700원,cu,51
92,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523876.jpg,묵은지참치김밥,"2,500원",cu,51
93,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952379.jpg,주먹왕!참치김볶,"1,900원",cu,51
94,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952393.jpg,불닭김밥,"2,300원",cu,51
95,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809453261240.jpg,불닭삼김,"1,200원",cu,51
96,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801771019534.jpg,자연인김밥(불어묵),"3,000원",cu,51
97,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523791.jpg,제주베이컨참치마요,"1,000원",cu,51
98,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801771019442.jpg,수원왕갈비식김밥,"2,300원",cu,51
99,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801771019367.jpg,BIG참치마요,"1,300원",cu,51
100,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801771019381.jpg,소확행김밥,"2,500원",cu,51
101,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523708.jpg,제주치킨마요,"1,200원",cu,51
102,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952096.jpg,참치김치,"1,000원",cu,51
103,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383952072.jpg,치킨마요삼각김밥,"1,200원",cu,51
104,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809453261080.jpg,김치즈참치즈,"2,300원",cu,51
105,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809453261042.jpg,백종원어묵반반김밥,"2,300원",cu,51
106,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801771018919.jpg,안동식찜닭김밥,"2,500원",cu,51
107,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523265.jpg,백종원바싹불고기,"1,200원",cu,51
108,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383951990.jpg,명란크랩마요김밥,"2,300원",cu,51
109,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809383951952.jpg,통햄참치김볶,"1,200원",cu,51
110,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451523081.jpg,[제주전용]제주햄참치김볶Ball,"1,500원",cu,51
111,간편식사,http://cdn2.bgfretail.com/bgfbrand/files/product/C3889E0D8A6D4CADA09DA24EBDBAC125.jpg,[제주전용]제주돼지불고기,"1,200원",cu,51
112,간편식사,http://cdn2.bgfretail.com/bgfbrand/files/product/5D105C15FD044B758B0BB0F18B105C42.jpg,[제주전용]매콤김치제육볶음,"2,200원",cu,51
113,간편식사,http://cdn2.bgfretail.com/bgfbrand/files/product/351AA6AF65A64FE8A8DC77108416BC24.jpg,[제주전용]매운고추돈불고기,"2,200원",cu,51
114,간편식사,http://cdn2.bgfretail.com/bgfbrand/files/product/74EE9187C35B4BC3ACE2ACCB61DDFA98.jpg,[제주전용]제주스노우불닭볶음밥,"1,200원",cu,51
115,간편식사,http://cdn2.bgfretail.com/bgfbrand/files/product/CACB6857A9BB4329BD51DC6511BF5A20.jpg,[제주전용]제주두루치기,"1,200원",cu,51
116,간편식사,http://cdn2.bgfretail.com/bgfbrand/files/product/D37120FCDC59485F8B5E368A44B38C6C.jpg,[제주전용]제주어니언치킨,"1,000원",cu,51
117,간편식사,http://cdn2.bgfretail.com/bgfbrand/files/product/4FB4457FFD5E447B9D4596B94A2F5346.jpg,[제주전용]제주매콤참치김치,"1,000원",cu,51
118,간편식사,http://cdn2.bgfretail.com/bgfbrand/files/product/9D081E316DD045F5A471DAFD7BC5E37A.jpg,[제주전용]제주햄참치마요,"1,000원",cu,51
119,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8809451522824.jpg,[제주전용]제주소불고기,"1,200원",cu,51
120,간편식사,http://bgf-cu.xcache.kinxcdn.com/product/8801771018773.jpg,참치불고기반반김밥,"2,200원",cu,51
121,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148649283.jpg,튀김)체다모짜치즈통스틱,"1,500원",cu
122,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148649276.jpg,튀김)모짜렐라치즈찰도그,"1,800원",cu
123,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148649290.jpg,튀김)소시지랑떡꼬치,"1,500원",cu
124,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648880.jpg,즉석)자이언트통다리(신),"1,800원",cu
125,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648606.jpg,튀김)순살넓적다리,"1,800원",cu
126,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148649030.jpg,즉석)오븐구이매콤꼬치,"1,700원",cu
127,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148649023.jpg,즉석)오븐구이치킨꼬치,"1,700원",cu
128,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648545.jpg,튀김)순살치킨꼬치매콤,"1,500원",cu
129,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648538.jpg,튀김)순살치킨꼬치,"1,500원",cu
130,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648293.jpg,튀김)치떡치떡꼬치,"1,500원",cu
131,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648255.jpg,즉석)자이언트통다리,"3,300원",cu
132,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648200.jpg,튀김)미니소시지떡꼬치,"1,800원",cu
133,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148647630.jpg,튀김)미니찰도그꼬치,"1,800원",cu
134,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148647432.jpg,즉석)숯불닭꼬치매콤,"1,700원",cu
135,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148647425.jpg,즉석)숯불닭꼬치데리야끼,"1,700원",cu
136,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/8809029031765.jpg,삼진)해물네모어묵,"1,000원",cu
137,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/8809029031789.jpg,삼진)사각꼬치어묵,"1,000원",cu
138,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/8809029031796.jpg,삼진)모듬꼬치어묵,"1,500원",cu
139,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148644523.jpg,즉석)쟌슨빌롱소시지(NEW),"2,000원",cu
140,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/D1E83ABAE9744A599864D9C54AE00FF5.jpg,튀김)삼진어묵매콤말이,"1,500원",cu
141,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/E2CFE48EE520404EB6C28719C7988E65.jpg,튀김)삼진어묵야채말이,"1,500원",cu
142,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148630441.jpg,튀김)매콤넓적다리,"2,000원",cu
143,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2200000142467.jpg,튀김)넓적다리오리지널,"2,000원",cu
144,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/C5541EE25A31490ABFEBA563C8DD5578.jpg,고구마)냉동군고구마1kg,"1,500원",cu
145,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/70587A59E282403DA6D037897D5EE082.jpg,튀김)커리가라아게꼬치,"1,500원",cu
146,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/0FEE0D4D5F41495C8545F55DBD88D697.jpg,튀김)밀크튀김컵,"2,000원",cu
147,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/947AE8AD44BC4E90BA2ADCE88423851F.jpg,튀)후라이드치킨,"9,900원",cu
148,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/282DD6BBB5AA4065ABC5EA7231F3F4CD.jpg,튀김)오트밀넓적다리,"2,000원",cu
149,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/03EF485BE03546F8AE0F3A0FF65E269F.jpg,튀김)커리닭다리,"2,000원",cu
