id,category,link,img,title,price
27,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=1506,http://branch1.nowpick.co.kr/data/goods/1506/thumb-8801117798208_0_235x235.jpg,돌아온썬64g,"1,300원"
28,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=1415,http://branch1.nowpick.co.kr/data/goods/1415/thumb-8801062009374_0_235x235.jpg,웰빙씨리얼오트42g,"1,200원"
29,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=1376,http://branch1.nowpick.co.kr/data/goods/1376/thumb-8801117765903_0_235x235.jpg,도도한나쵸치즈맛92g,"1,500원"
30,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=1162,http://branch1.nowpick.co.kr/data/goods/1162/thumb-8809304881023_0_235x235.jpg,프레첼체다치즈맛85g,"1,500원"
31,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=1161,http://branch1.nowpick.co.kr/data/goods/1161/thumb-8809304881016_0_235x235.jpg,프레첼갈릭버터맛85g,"1,500원"
32,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=1086,http://branch1.nowpick.co.kr/data/goods/1086/thumb-8809027555287_0_235x235.jpg,커널스크리미카라멜팝콘65g,"1,500원"
33,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=1085,http://branch1.nowpick.co.kr/data/goods/1085/thumb-8809027555270_0_235x235.jpg,커널스슈퍼믹스팝콘55g,"1,500원"
34,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=976,http://branch1.nowpick.co.kr/data/goods/976/thumb-8801906162050_0_235x235.jpg,왕소라과자136g,"1,200원"
35,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=887,http://branch1.nowpick.co.kr/data/goods/887/thumb-8801151115085_0_235x235.jpg,뻥이요140g,"1,800원"
36,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=865,http://branch1.nowpick.co.kr/data/goods/865/thumb-8801117775001_0_235x235.jpg,스윙칩볶음고추장맛60g,"1,500원"
37,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=864,http://branch1.nowpick.co.kr/data/goods/864/thumb-8801117762308_0_235x235.jpg,오감자양념바베큐소스맛50g,"1,500원"
38,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=863,http://branch1.nowpick.co.kr/data/goods/863/thumb-8801117760908_0_235x235.jpg,오징어땅콩98g,"1,500원"
39,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=862,http://branch1.nowpick.co.kr/data/goods/862/thumb-8801117760304_0_235x235.jpg,포카칩어니언맛60g,"1,500원"
40,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=861,http://branch1.nowpick.co.kr/data/goods/861/thumb-8801117760106_0_235x235.jpg,포카칩오리지널60g,"1,500원"
41,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=860,http://branch1.nowpick.co.kr/data/goods/860/thumb-8801117752804_0_235x235.jpg,오감자감자그라탕맛50g,"1,200원"
42,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=853,http://branch1.nowpick.co.kr/data/goods/853/thumb-8801117446901_0_235x235.jpg,초코송이50g,"1,000원"
43,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=840,http://branch1.nowpick.co.kr/data/goods/840/thumb-8801117268206_0_235x235.jpg,왕고래밥볶음양념맛56g,"1,200원"
44,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=839,http://branch1.nowpick.co.kr/data/goods/839/thumb-8801117115203_0_235x235.jpg,고래밥볶음양념맛40g,700원
45,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=837,http://branch1.nowpick.co.kr/data/goods/837/thumb-8801117109004_0_235x235.jpg,미쯔블랙84g,"1,500원"
46,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=819,http://branch1.nowpick.co.kr/data/goods/819/thumb-8801111924634_0_235x235.jpg,꽃게랑와사비70g,"1,500원"
47,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=817,http://branch1.nowpick.co.kr/data/goods/817/thumb-8801111922531_0_235x235.jpg,카라멜콘땅콩72g,"1,500원"
48,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=816,http://branch1.nowpick.co.kr/data/goods/816/thumb-8801111919609_0_235x235.jpg,꽃게랑불짬뽕70g,"1,500원"
49,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=812,http://branch1.nowpick.co.kr/data/goods/812/thumb-8801111916479_0_235x235.jpg,츄러스84g,"1,500원"
50,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=811,http://branch1.nowpick.co.kr/data/goods/811/thumb-8801111912075_0_235x235.jpg,땅콩카라멜120g,"2,000원"
51,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=810,http://branch1.nowpick.co.kr/data/goods/810/thumb-8801111904292_0_235x235.jpg,카라멜콘메이플74g,"1,500원"
52,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=805,http://branch1.nowpick.co.kr/data/goods/805/thumb-8801111611312_0_235x235.jpg,콘칩70g,"1,500원"
53,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=804,http://branch1.nowpick.co.kr/data/goods/804/thumb-8801111610636_0_235x235.jpg,죠리퐁74g,"1,500원"
54,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=790,http://branch1.nowpick.co.kr/data/goods/790/thumb-8801111185066_0_235x235.jpg,못말리는신짱120g,"1,500원"
55,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=712,http://branch1.nowpick.co.kr/data/goods/712/thumb-8801073310711_0_235x235.jpg,사또밥67g,"1,300원"
56,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=711,http://branch1.nowpick.co.kr/data/goods/711/thumb-8801073310698_0_235x235.jpg,짱구115g,"1,300원"
57,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=661,http://branch1.nowpick.co.kr/data/goods/661/thumb-8801062518210_0_235x235.jpg,칸쵸54g,"1,000원"
58,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=652,http://branch1.nowpick.co.kr/data/goods/652/thumb-8801062385850_0_235x235.jpg,고구마켓62g,"3,000원"
59,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=651,http://branch1.nowpick.co.kr/data/goods/651/thumb-8801062013548_0_235x235.jpg,꼬깔콘매콤달콤한맛72g,"1,500원"
60,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=650,http://branch1.nowpick.co.kr/data/goods/650/thumb-8801062013531_0_235x235.jpg,꼬깔콘군옥수수맛72g,"1,500원"
61,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=649,http://branch1.nowpick.co.kr/data/goods/649/thumb-8801062013524_0_235x235.jpg,꼬깔콘고소한맛72g,"1,500원"
62,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=648,http://branch1.nowpick.co.kr/data/goods/648/thumb-8801062380015_0_235x235.jpg,치토스매콤달콤한맛88g,"1,500원"
63,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=634,http://branch1.nowpick.co.kr/data/goods/634/thumb-8801062289936_0_235x235.jpg,치토스스모키바베큐맛88g,"1,500원"
