id,category,image,name,price,PB
0,90,http://bgf-cu.xcache.kinxcdn.com/product/8809451524101.jpg,나쵸피자,"3,500원",0
1,50,http://bgf-cu.xcache.kinxcdn.com/product/8809558841842.jpg,스파이시치킨샐러드,"3,500원",0
2,50,http://bgf-cu.xcache.kinxcdn.com/product/8809558841859.jpg,리얼어니언햄샐러드,"3,500원",0
3,53,http://bgf-cu.xcache.kinxcdn.com/product/8809453261363.jpg,육즙만수르비프함박,"5,000원",0
4,53,http://bgf-cu.xcache.kinxcdn.com/product/8802039232016.jpg,판메밀국수,"3,500원",0
5,53,http://bgf-cu.xcache.kinxcdn.com/product/8809196612439.jpg,훈제오리&제육볶음,"4,800원",0
6,53,http://bgf-cu.xcache.kinxcdn.com/product/8809196612415.jpg,백종원한입고기산적,"4,900원",0
7,53,http://bgf-cu.xcache.kinxcdn.com/product/8802039233013.jpg,을지로골뱅이비빔면,"4,300원",0
8,50,http://bgf-cu.xcache.kinxcdn.com/product/8801068378887.jpg,에그가먼저닭샐러드,"3,500원",0
9,53,http://bgf-cu.xcache.kinxcdn.com/product/8809451524057.jpg,건강야채비벼봄,"4,000원",0
10,53,http://bgf-cu.xcache.kinxcdn.com/product/8801771019701.jpg,치즈만수르돈까스,"5,000원",0
11,53,http://bgf-cu.xcache.kinxcdn.com/product/8809451523999.jpg,백종원한입돈까스,"4,900원",0
12,53,http://bgf-cu.xcache.kinxcdn.com/product/8802039230029.jpg,중화냉면,"3,900원",0
13,50,http://bgf-cu.xcache.kinxcdn.com/product/8801771019688.jpg,3500원떡볶이,"3,500원",0
14,53,http://bgf-cu.xcache.kinxcdn.com/product/8809196612392.jpg,큐브목살스테이크,"5,000원",0
15,53,http://bgf-cu.xcache.kinxcdn.com/product/8801068377804.jpg,미트토마토파스타,"3,900원",0
16,53,http://bgf-cu.xcache.kinxcdn.com/product/8809453261325.jpg,데리야끼닭꼬치,"3,500원",0
17,53,http://bgf-cu.xcache.kinxcdn.com/product/8801771019626.jpg,치킨트리오,"4,200원",0
18,53,http://bgf-cu.xcache.kinxcdn.com/product/8802039231118.jpg,크림우동,"3,500원",0
19,53,http://bgf-cu.xcache.kinxcdn.com/product/8802039230012.jpg,볶음짬뽕면,"3,500원",0
